,customer-lifetime-value,income,monthly-premium-auto,number-of-open-complaints,total-claim-amount
208,927723,71416,116,0,556
209,627412,68964,78,0,115
210,388664,78108,98,0,470
211,438627,10621,67,0,321
212,1136526,84910,95,0,383
213,561096,77493,70,0,307
214,291289,81097,74,0,355
215,691572,96610,85,0,520
216,626266,30110,159,0,466
217,650339,22081,84,0,451
218,800739,0,112,0,537
219,292991,98473,72,0,345
220,596955,97431,74,0,355
221,547315,93870,69,0,331
222,564539,50366,72,0,428
223,636926,34498,83,0,398
224,1183376,16552,103,0,494
225,612110,26787,77,0,369
226,515936,0,74,0,831
227,251459,43860,65,0,156
228,866861,21474,114,2,373
229,496096,18174,66,0,395
230,550413,0,73,0,350
231,750745,60920,64,0,231
232,3226985,41520,90,0,289
233,565703,0,152,0,729
234,506175,0,68,0,326
235,591278,72208,73,0,350
236,1518227,53863,63,0,105
237,1074703,66446,136,0,639
238,205062,0,61,0,292
239,246544,64997,63,1,383
240,534312,64460,66,0,316
241,811982,46618,67,0,99
242,460526,0,64,0,307
243,640878,49988,84,5,566
244,237653,0,91,5,436
245,321107,16269,86,0,412
246,509452,72006,64,0,307
247,2575527,0,81,2,388
248,867222,0,245,0,2345
249,804473,44320,67,0,321
250,400151,19782,108,0,773
251,1670611,63933,70,0,424
252,854441,28224,109,0,523
253,780531,21073,106,1,508
254,611275,63243,77,0,364
255,477294,20993,133,0,638
256,1097909,94827,135,0,354
257,500426,39161,63,1,283
258,1322304,37534,84,2,403
259,262331,80210,65,0,20
260,1784019,0,62,0,385
261,510611,30110,64,0,140
262,1793060,21708,68,0,326
263,545734,94731,67,0,321
264,656364,32375,83,0,398
265,481252,16531,63,0,102
266,2932804,32006,94,0,56
267,577352,81676,72,0,463
268,684711,71038,86,0,205
269,359531,0,103,0,741
270,2285561,20832,65,0,56
271,785941,0,113,0,813
272,411557,52405,103,0,494
273,502963,0,133,0,795
274,482141,26583,1005,4,614
275,500431,25486,65,0,72
276,863005,24065,111,0,532
277,932208,70435,116,0,67
278,1672756,0,76,2,402
279,365253,39679,92,0,641
280,615860,0,89,0,342
281,437608,0,69,4,331
282,556945,53565,71,1,340
283,257651,37574,66,1,412
284,834698,48259,108,0,73
285,632392,78532,78,0,374
286,597314,96163,73,0,350
287,470667,0,72,0,345
288,809341,0,114,1,722
289,503574,72672,63,0,259
290,902786,99002,112,1,537
291,728888,79494,91,0,396
292,1804247,35704,225,0,358
293,499206,0,71,0,653
294,910226,26049,118,0,121
295,254040,70125,64,0,92
296,1294189,52369,110,1,528
297,236534,0,66,2,159
298,572076,41770,72,0,476
299,703553,0,101,0,727
300,263697,31911,67,0,321
301,539583,70051,68,0,42
302,838263,19683,117,1,561
303,3116174,30916,112,0,200
304,288774,0,80,0,676
305,742584,84302,62,0,76
306,2558572,0,116,0,830
307,1027260,60145,132,0,580
308,437636,63774,111,0,60
309,531889,25134,67,0,321
310,471976,37057,61,1,47
311,442803,58577,110,0,303
312,587917,85857,73,0,100
313,941690,70602,116,0,481
314,828815,33816,106,2,508
315,3265483,0,153,0,1101
316,471945,89642,121,4,86
317,390347,60068,98,0,470
318,545725,50044,139,0,667
319,272535,36650,69,1,56
320,443397,50653,110,0,262
321,533246,68931,66,0,309
322,231509,0,73,1,350
323,541195,0,73,0,365
324,958733,39266,80,0,384
325,2210350,0,102,0,489
326,976494,0,98,1,705
327,256715,40864,65,0,9
328,265062,39035,68,0,244
329,1126436,34923,98,0,639
330,216852,0,63,0,453
331,861066,0,111,0,532
332,283464,24506,71,0,511
333,893013,0,82,0,554
334,553638,52220,70,1,336
335,284085,0,74,0,402
336,808288,53554,67,0,327
337,525473,34476,67,1,5
338,511623,0,70,0,131
339,303464,68205,76,0,99
340,802489,0,119,1,856
341,1821114,53690,154,0,739
342,512156,0,72,0,518
343,215017,0,61,0,292
344,559538,74454,71,0,340
345,756282,0,73,0,350
346,538585,29664,71,0,340
347,267805,72450,66,0,84
348,942256,47272,79,3,64
349,360586,21585,92,0,441
350,776259,23827,106,2,37
351,2344490,69906,74,2,202
352,255817,0,72,0,345
353,265438,73196,66,1,85
354,254978,72217,6464,0,91
355,296959,46131,74,0,355
356,436312,54514,109,3,286
357,588430,0,161,0,1159
358,527219,96668,66,0,316
359,550989,78879,69,1,466
360,1631368,0,69,0,331
361,567805,0,76,0,364
362,1210120,0,112,0,1252
363,245357,29735,69,0,331
364,507566,23082,65,0,312
365,321497,53984,80,0,421
366,1227534,52135,156,0,430
367,272221,17576,71,0,398
368,245744,29486,62,0,7
369,355484,58557,88,0,55
370,492954,25632,63,0,351
371,803645,0,112,0,806
372,427691,18768,68,3,647
373,3347334,33190,106,0,508
374,596058,47945,74,0,128
375,4479546,58778,126,0,302
376,383211,15192,100,0,480
377,683793,51859,171,0,1003
378,528526,23422,72,0,518
379,309651,21604,79,0,379
380,358971,79298,90,0,244
381,258240,76731,64,0,201
382,340391,38460,88,1,91
383,1357567,48534,115,1,552
384,343613,30817,88,0,91
385,2868582,48412,104,0,707
386,450267,68798,114,0,92
387,618311,23712,85,0,376
388,387364,28142,105,0,701
389,1892933,72196,68,0,152
390,555329,68197,69,0,176
391,501125,75248,63,0,104
392,1044244,0,98,0,941
393,219961,0,65,1,468
394,512317,89879,63,0,94
395,748431,46998,96,0,460
396,261302,57099,67,0,67
397,908063,33897,114,0,539
398,1377097,59207,116,0,556
399,287682,40171,73,0,350
400,540891,80192,67,0,95
401,677030,74422,85,1,95
402,2414387,0,87,0,626
403,353805,0,67,5,321
404,2909123,34226,244,0,494
405,1983420,65989,123,1,115
406,473136,30686,61,0,19
407,3553784,0,113,0,799
408,3461137,20090,109,0,523
409,2021630,0,183,0,878
410,1397651,77094,176,0,444
411,590408,97413,73,0,268
412,559583,79189,69,0,331
413,229430,0,62,0,297
414,627391,18577,86,0,412
415,372672,0,112,1,806
416,265671,62777,67,0,101
417,511068,0,74,0,532
418,712659,17483,183,0,1317
419,460163,84394,114,0,691
420,915523,0,127,0,804
421,1480805,41440,62,1,297
422,890167,0,136,1,1090
423,573459,98132,71,0,50
424,417769,0,112,0,537
425,2777628,88220,230,0,151
426,1036434,58327,129,0,347
427,785190,25950,66,0,271
428,477294,20993,133,0,638
429,1422650,65726,177,0,849
430,287543,84768,72,0,110
431,504129,36234,63,0,113
432,436293,58842,110,0,528
433,962452,25629,124,2,595
434,2191440,77311,181,0,113
435,694842,0,196,2,1337
436,247152,95697,61,0,114
437,2190391,22254,79,0,125
438,902882,65974,113,0,235
439,530375,0,76,0,395
440,2070825,92079,65,1,114
441,512376,0,74,0,772
442,949234,0,132,0,633
443,820486,0,73,0,350
444,987729,67752,131,4,168
445,481500,25398,64,0,307
446,627701,0,88,0,633
447,826063,33321,105,0,504
448,254945,0,78,0,845
449,1131808,38923,99,2,115
450,380392,20325,100,0,668
451,863540,13129,117,0,700
452,551055,0,73,0,525
453,358588,49080,91,0,25
454,488925,42536,63,0,375
455,275694,29926,74,0,418
456,328954,0,86,0,398
457,1093717,21450,138,0,938
458,737556,33345,65,0,338
459,1011077,15752,90,0,339
460,511941,40169,65,1,302
461,853383,26049,113,1,619
462,222476,0,68,0,326
463,804280,55411,100,0,259
464,255443,12459,70,0,336
465,1807394,64620,76,1,364
466,243050,83140,61,0,179
467,316765,0,92,0,662
468,546560,54422,68,0,75
469,1035751,68309,131,0,306
470,253781,56621,65,2,84
471,282194,38977,70,0,139
472,775712,0,111,0,607
473,407913,0,114,0,631
474,595554,0,83,0,628
475,1415861,83235,70,0,336
476,848723,0,74,0,426
477,628547,32390,80,0,91
478,1147348,66538,95,0,317
479,494263,23285,65,0,118
480,2359468,76358,66,0,86
481,257250,21104,66,0,118
482,538089,55350,67,0,321
483,477055,12964,65,0,362
484,675665,33288,86,2,221
485,593601,0,84,0,980
486,357076,56168,88,0,614
487,601996,0,92,0,662
488,542686,23105,69,0,331
489,273031,36218,68,0,145
490,498268,52275,62,0,374
491,876926,49665,74,0,355
492,422061,32471,110,0,528
493,1153750,0,86,1,619
494,588718,62773,73,0,80
495,470058,76694,117,0,561
496,1096395,55687,276,0,1324
497,252317,0,70,0,504
498,375780,36633,96,1,460
499,1294173,77060,106,0,468
500,376446,92600,94,0,842
501,688955,0,66,0,475
502,362345,0,111,2,1171
503,758211,64801,64,0,268
504,827774,45257,103,0,494
505,257645,26854,66,0,475
506,820538,85840,102,2,138
507,1958246,26463,72,0,345
508,648152,30689,81,0,467
509,259931,29590,66,0,467
510,983033,25965,253,0,1214
511,1044265,17269,139,0,667
512,3605753,90330,137,3,192
513,847003,0,113,0,619
514,827878,0,110,0,1002
515,478893,0,67,1,321
516,308799,18558,80,0,384
517,444373,46384,113,0,251
518,798408,0,72,0,866
519,718097,42303,180,0,1210
520,1565603,71731,130,0,599
521,578018,51066,74,0,787
522,2071494,0,203,0,2027
523,533735,0,86,3,619
524,505082,0,69,0,72
525,511662,26173,68,1,449
526,726873,24445,63,0,302
527,261661,72302,66,0,316
528,373843,27208,102,0,489
529,272535,36650,69,1,56
530,545386,30855,68,0,259
531,684615,0,95,0,456
532,617291,99960,76,0,364
533,1034632,0,98,0,470
534,699700,55873,88,0,299
535,419625,18052,111,0,699
536,785810,28937,104,2,117
537,606434,0,86,0,545
538,1749752,0,73,0,350
539,897064,12829,118,0,328
540,592311,92163,73,0,66
541,3585059,17588,192,0,1382
542,870984,41546,111,0,121
543,1330933,0,127,0,609
544,452850,70340,113,0,542
545,279190,0,74,0,532
546,443441,34549,111,0,125
547,799600,93459,99,0,655
548,512973,86148,65,2,312
549,569717,27048,72,0,345
550,921713,73259,115,0,673
551,1020892,35482,129,0,619
552,417068,29462,107,1,513
553,450540,67801,115,1,23
554,310756,0,94,4,451
555,552866,16042,73,0,350
556,504586,28056,64,1,307
557,296272,16495,85,3,408
558,866595,41163,108,0,231
559,1141344,0,161,1,772
560,1548843,33799,109,3,664
561,886114,90125,110,0,128
562,593474,87747,147,1,46
563,354323,35695,90,0,432
564,349002,90985,87,0,78
565,368309,0,101,0,564
566,598977,66839,154,0,739
567,1250084,0,165,0,792
568,860915,79090,107,0,289
569,249745,24825,64,0,155
570,701917,26806,63,0,302
571,538792,56835,67,0,326
572,616555,0,88,0,653
573,273020,46135,69,0,103
574,516211,0,73,0,809
575,793706,22862,67,0,321
576,860815,21450,110,2,528
577,263254,95854,65,0,312
578,778500,44897,99,1,580
579,2163983,64455,108,0,133
580,498082,53265,62,0,238
581,745723,0,198,1,1577
582,1064093,50450,90,0,135
583,686250,54780,88,3,135
584,904898,0,119,0,571
585,554803,67798,69,0,331
586,831268,21442,118,0,566
587,238998,27615,62,1,297
588,445811,17622,65,1,312
589,529574,50200,135,0,637
590,383960,0,112,2,537
591,373150,0,96,0,460
592,277890,73570,70,1,75
593,401654,0,111,0,799
594,493094,70412,61,0,136
595,249131,36631,62,0,67
596,290887,35895,73,0,312
597,428294,40864,109,1,166
598,834162,0,118,0,566
599,509078,93018,63,0,135
600,736618,70014,62,0,17
601,243687,48875,61,0,1
602,885268,67969,74,0,197
603,2387547,0,108,0,612
604,560049,68665,69,0,331
605,463654,26802,66,1,316
606,757334,0,110,0,1193
607,1469663,45345,125,0,600
608,897214,89689,74,0,136
609,772484,32051,193,1,926
610,594667,81139,74,0,392
611,800054,63834,100,1,215
612,645756,37548,81,0,160
613,728144,0,69,3,371
614,259243,72421,65,0,312
615,467842,83102,116,0,443
616,1386992,28432,118,0,612
617,871777,83707,108,0,290
618,523398,63259,65,0,316
619,476418,0,67,0,405
620,247246,63860,62,0,208
621,281369,43836,73,0,138
622,550505,86132,68,0,301
623,260620,28519,66,0,456
624,1048194,39102,88,0,152
625,325676,0,89,0,491
626,3047578,97298,128,0,48
627,636490,41986,84,2,430
628,946850,0,88,0,633
629,563145,17291,73,0,350
630,778099,0,74,0,246
631,981652,37256,62,0,128
632,751913,96306,95,1,185
633,1017971,14290,271,0,1300
634,277283,37038,71,1,9
635,403750,90760,103,2,133
636,419196,77048,103,0,141
637,267686,54480,67,0,321
638,252395,16244,68,0,623
639,698840,22436,89,0,427
640,874205,71592,72,0,141
641,267331,28728,67,0,321
642,1215732,57449,103,0,494
643,295776,83318,73,0,211
644,717390,75217,61,1,147
645,309953,0,102,5,862
646,841568,55308,107,0,513
647,2684312,36068,97,0,113
648,1305717,48804,112,1,537
649,959995,0,131,0,943
650,853510,55790,111,0,117
651,829348,70258,69,0,225
652,684615,0,95,0,456
653,663685,47274,83,1,182
654,560908,44705,71,0,148
655,507732,0,73,0,525
656,527562,70446,65,0,155
657,251459,43860,65,0,156
658,343525,64348,86,0,212
659,662461,0,62,0,297
660,575744,88997,72,0,174
661,251459,43860,65,0,156
662,288645,10312,78,0,486
663,534143,0,72,1,345
664,416001,96263,103,0,1
665,284624,28919,72,0,518
666,477025,0,68,1,326
667,505961,41869,64,0,262
668,909574,0,128,0,921
669,268886,32808,68,1,541
670,827763,79780,68,0,326
671,905793,91025,112,0,327
672,380175,33043,95,0,456
673,933934,69442,118,3,1265
674,252012,0,70,0,63
675,498409,0,70,0,336
676,259574,47234,65,0,15
677,743769,86863,92,0,441
678,1453678,25805,66,2,375
679,591330,43676,76,0,364
680,277166,59855,74,4,355
681,2919436,35296,126,0,452
682,988038,36576,125,1,113
683,1511440,28513,100,1,480
684,575991,85448,72,0,16
685,849516,23791,110,3,615
686,438118,20597,112,0,615
687,699782,56940,87,0,512
688,1143058,93210,71,0,74
689,748248,48992,94,1,426
690,859691,53736,71,0,169
691,785496,25378,66,1,419
692,258240,76731,64,0,201
693,907576,37722,116,0,158
694,411858,69379,103,0,494
695,1215732,57449,103,0,494
696,515281,0,68,0,326
697,651297,0,93,0,669
698,2778969,33806,89,0,395
699,266727,94041,66,0,159
700,1092840,74965,90,0,58
701,761538,34095,63,0,302
702,200435,0,66,4,316
703,243468,96045,61,0,8
704,1419536,86355,118,0,285
705,942768,27824,118,0,566
706,1198242,42995,101,0,410
707,310278,21235,79,0,244
708,422263,74585,106,0,218
709,402381,41833,103,0,643
710,529715,23908,70,0,336
711,2142363,0,65,0,312
712,441620,61953,113,0,497
713,463903,0,142,0,1022
714,486354,0,137,0,657
715,2583090,73760,107,1,230
716,297431,23333,74,0,5
717,206445,0,61,0,292
718,1006460,20440,128,2,614
719,803240,27658,68,0,160
720,548921,50943,139,0,667
721,261275,19003,71,0,34
722,857346,46703,108,0,678
723,2412750,14072,71,0,511
724,855038,21733,73,0,525
725,230864,20811,61,0,292
726,425462,11904,61,2,292
727,898285,43490,114,4,174
728,786816,57340,67,0,159
729,770424,49088,97,0,698
730,1055217,47761,131,0,232
731,1604510,0,65,0,163
732,873783,61281,110,0,79
733,545489,0,82,1,393
734,770528,25290,66,0,382
735,703926,24239,88,0,48
736,883808,82664,114,3,133
737,873352,83210,110,0,528
738,959747,38736,81,0,561
739,450666,0,66,0,316
740,1785797,55437,64,1,445
741,249780,68041,6464,0,165
742,542613,0,71,0,407
743,799814,29066,100,0,844
744,289762,54337,72,0,345
745,1159950,67616,96,0,340
746,1514793,41082,63,0,106
747,543576,0,10202,0,626
748,272535,36650,69,1,56
749,1329771,50631,112,4,784
750,992704,19592,92,0,441
751,1777154,0,114,0,547
752,1826927,55761,115,0,86
753,272221,17576,71,0,398
754,708321,41449,89,0,63
755,1017971,14290,271,0,1300
756,588950,62007,73,0,120
757,1577139,21921,206,0,1254
758,528817,42621,66,0,316
759,2758055,0,87,1,417
760,777853,63786,196,0,798
761,734186,0,104,3,82
762,791919,82877,99,1,22
763,216387,0,63,0,302
764,978780,10475,88,1,422
765,520764,21952,66,0,316
766,2114727,49721,132,0,639
767,1228076,88340,102,0,489
768,244139,0,65,0,312
769,653556,0,65,0,468
770,920659,24589,82,0,511
771,411858,69379,103,0,494
772,483820,73769,61,2,239
773,462554,66670,114,0,518
774,1404210,88854,118,0,715
775,754661,31266,193,0,926
776,251459,43860,65,0,156
777,517035,89284,133,2,402
778,1391737,67267,89,0,94
779,1131813,79270,95,3,456
780,427636,36692,109,1,523
781,432224,0,119,0,571
782,800230,0,107,0,513
783,388545,0,105,0,504
784,447177,0,135,0,972
785,849635,44624,71,1,73
786,2250088,0,71,0,340
787,1630196,19614,85,0,574
788,231973,0,64,0,632
789,871704,83846,74,3,355
790,286011,51159,72,0,4
791,245340,83772,62,0,42
792,598977,66839,154,0,739
793,2498022,88440,70,0,27
794,748263,25666,63,2,270
795,245757,52926,61,0,292
796,237974,0,67,0,494
797,828696,40001,70,0,142
798,239391,0,70,0,425
799,465715,18024,65,0,312
800,1319792,0,68,3,326
801,280391,23220,74,0,251
802,864650,64125,108,0,369
803,742587,58042,62,0,161
804,452873,90034,112,0,537
805,222707,27972,61,0,292
806,729294,0,65,0,312
807,318435,50989,80,0,255
808,1131520,11885,101,0,484
809,253070,89451,63,0,61
810,1836155,0,182,0,1310
811,864153,78904,109,0,250
812,327853,70247,83,1,141
813,527198,32653,67,0,321
814,376363,93595,97,4,49
815,1395556,90279,115,0,372
816,500152,0,72,0,542
817,708283,53310,189,3,1360
818,761948,0,105,0,504
819,1255088,22234,160,0,768
820,3219660,91375,99,0,72
821,679377,22250,86,0,720
822,527231,0,80,0,576
823,626534,0,84,1,481
824,854758,51179,71,0,466
825,278742,38667,72,0,159
826,462680,79487,114,0,547
827,866336,67763,107,2,41
828,387222,0,62,2,503
829,517081,0,71,0,859
830,896028,71943,112,0,305
831,547183,53526,68,0,278
832,3493100,35005,295,0,1416
833,262039,24721,67,0,139
834,1906949,0,102,2,734
835,575744,88997,72,0,174
836,4022401,48587,111,0,532
837,270148,76310,67,0,321
838,371243,73205,92,0,37
839,2185084,51056,78,0,95
840,784016,58414,210,2,1008
841,823703,23940,107,0,513
842,224347,0,62,0,446
843,843446,44216,71,0,72
844,222707,27972,61,0,292
845,517002,0,69,0,331
846,264144,29305,66,0,475
847,279068,53882,69,0,331
848,274512,91757,69,1,331
849,757953,33906,64,0,401
850,1097878,68158,139,1,253
851,825506,0,134,3,643
852,474773,42165,123,0,799
853,354090,0,101,0,727
854,343613,30817,88,0,91
855,258218,68074,65,0,27
856,1166509,84978,35353,1,166
857,739628,71135,92,1,270
858,433079,0,61,0,292
859,907576,37722,116,0,158
860,1463545,0,139,0,667
861,856476,95697,107,0,178
862,1156568,64642,96,0,404
863,277104,50071,71,0,18
864,850712,46754,106,1,513
865,758211,64801,64,0,268
866,332309,70410,83,0,131
867,523433,66957,131,1,628
868,2470959,24213,78,1,374
869,1778627,99790,6464,0,178
870,255122,79751,63,0,392
871,724771,86122,182,1,873
872,453884,82297,116,0,0
873,3164210,89057,98,0,187
874,873042,43259,73,0,350
875,833273,0,79,0,379
876,235774,25064,62,0,297
877,463716,25816,119,0,571
878,535719,0,73,0,350
879,539197,41662,69,0,217
880,369414,96170,92,0,441
881,504041,46072,64,0,25
882,2749542,37931,99,0,475
883,484228,35127,62,0,297
884,2738281,45473,76,0,188
885,522710,93087,131,3,628
886,259009,22398,67,2,321
887,1053607,92983,87,1,153
888,858127,27689,239,2,2893
889,946311,69654,118,0,629
890,1344100,80744,111,0,361
891,388650,0,112,0,1185
892,678489,0,64,1,460
893,2359468,76358,66,0,86
894,253862,18608,71,0,340
895,563994,73168,70,0,425
896,1168137,70930,99,0,190
897,2599775,62262,72,0,193
898,1377836,91474,113,0,24
899,492318,61469,63,5,302
900,227233,16618,62,0,219
901,1489539,48081,188,0,881
902,975604,67632,121,0,26
903,942297,34115,119,0,466
904,383735,23051,99,0,475
905,1095213,23748,99,0,607
906,815913,40589,69,0,331
907,1948049,50809,83,0,290
908,391936,66676,97,0,558
909,798514,52339,70,3,336
910,1216874,14973,115,0,828
911,584932,0,83,0,540
912,508583,31546,65,0,100
913,290393,67763,73,1,59
914,627317,20836,79,0,193
915,1832141,88592,76,0,199
916,517870,66943,65,1,53
917,1402435,81872,115,0,256
918,530943,22404,70,1,211
919,494980,21342,62,0,74
920,859566,34621,108,1,621
921,2295189,62396,64,0,307
922,379213,97212,93,0,360
923,275574,49648,70,0,65
924,488033,97984,61,1,407
925,905190,26308,114,0,547
926,1011544,63528,256,0,1228
927,826907,20225,114,1,547
928,807165,0,112,0,806
929,772699,87620,64,0,24
930,831113,0,72,0,311
931,257402,34990,65,0,42
932,572732,99934,71,0,460
933,367914,60804,92,0,213
934,274451,94648,69,0,331
935,563674,24516,71,0,300
936,1687038,61063,85,0,262
937,273800,0,74,0,263
938,464470,0,64,0,307
939,474668,15169,63,0,302
940,1687432,55390,71,0,256
941,238760,27592,62,0,297
942,446533,61846,112,0,215
943,459162,83297,113,0,542
944,1309258,0,188,0,1353
945,911226,0,90,0,432
946,416516,55897,104,0,499
947,265998,21297,71,0,45
948,1198659,87560,98,1,470
949,289873,0,96,4,691
950,289424,0,85,0,408
951,350045,89398,86,0,82
952,262180,36843,68,3,357
953,1022180,0,134,0,643
954,257827,34946,65,0,420
955,624259,75680,78,0,136
956,522028,0,69,0,331
957,313643,49532,79,1,220
958,452536,10269,65,0,170
959,497035,49714,63,3,266
960,1546778,77517,129,0,98
961,583889,81082,73,0,281
962,1065688,72540,88,0,631
963,228961,0,65,0,468
964,543980,61546,68,0,29
965,795615,44818,67,1,136
966,445811,17622,65,1,312
967,255505,0,72,0,518
968,330799,79797,84,0,31
969,845905,92717,70,0,224
970,1335012,28919,173,0,830
971,493122,0,68,0,480
972,777683,63568,65,0,390
973,255367,73935,64,1,72
974,487646,0,66,0,316
975,903430,18846,115,0,552
976,810591,38893,103,0,41
977,561968,0,153,0,1027
978,1572713,84824,196,0,319
979,661801,20068,86,0,411
980,467004,0,125,0,600
981,1016936,0,135,0,648
982,832307,97245,70,0,4
983,241776,51808,61,1,351
984,804487,71391,67,0,284
985,532572,0,73,0,496
986,694752,0,100,0,925
987,584741,23496,77,0,13
988,588174,55561,63,0,227
989,472478,23986,119,0,463
990,279022,22974,71,0,180
991,2153133,0,101,0,484
992,1262283,61844,106,0,508
